📌 주봉 신호 종목 현황 (2026-05-27 기준)
시총 높은 순 | 총 286개 종목

🇰🇷 한국 (14개)
       시총  [주간%]  종목명
1748.0조    [+6.4%]  삼성전자(52주)  ← 52주신고가, 5일선라이딩
1462.5조   [+11.5%]  SK하이닉스(52주)  ← 52주신고가, 5일선라이딩
 78.2조   [+21.1%]  HD현대중공업(52주)  ← 52주신고가, 이평선수렴
 47.6조   [+23.8%]  SK(52주)  ← 52주신고가, 5일선라이딩
 25.9조    [+4.9%]  삼성화재  ← 이평선수렴, RSI/MACD
 25.3조   [+40.5%]  LG이노텍(역사적)  ← 52주신고가, 5일선라이딩
 15.6조   [+11.6%]  삼성에스디에스  ← 이평선수렴, RSI/MACD
 10.9조   [+28.7%]  주성엔지니어링(52주)  ← 52주신고가, 5일선라이딩
  3.5조   [+16.8%]  에스엘(52주)  ← 52주신고가, RSI/MACD
  3.0조    [+8.4%]  HL만도  ← 이평선수렴, RSI/MACD
  1.9조   [+67.1%]  네이처셀  ← 이평선수렴, RSI/MACD
  1.2조    [+1.3%]  삼성화재우  ← 5일선라이딩, 이평선수렴
4,212억    [-0.3%]  HL홀딩스  ← 이평선수렴, RSI/MACD
3,138억    [+0.7%]  삼목에스폼  ← 이평선수렴, RSI/MACD

🇺🇸 미국 (272개)
       시총  [주간%]  종목명
$  2.7T    [+3.5%]  Apple(52주)  ← 52주신고가, 5일선라이딩
$   871B    [-1.0%]  Berkshire Hathaway  ← 컵위드핸들, RSI/MACD
$   715B    [+7.8%]  Eli Lilly  ← 이평선수렴, RSI/MACD
$   567B    [-1.9%]  Visa  ← 5일선라이딩, 이평선수렴
$   545B    [+5.8%]  Tesla  ← 이평선수렴, RSI/MACD
$   525B    [+2.0%]  JPMorgan Chase  ← 이평선수렴, RSI/MACD
$   319B    [+6.4%]  Merck  ← 컵위드핸들, 이평선수렴
$   282B    [+3.0%]  Bank of America  ← 이평선수렴, RSI/MACD
$   251B    [-0.9%]  Coca-Cola(52주)  ← 52주신고가, 5일선라이딩
$   196B    [-0.5%]  Cisco(52주)  ← 52주신고가, 5일선라이딩
$   191B   [+22.2%]  QUALCOMM(52주)  ← 52주신고가, 5일선라이딩
$   140B    [+4.7%]  Morgan Stanley(52주)  ← 52주신고가, 5일선라이딩
$   138B    [-5.2%]  Philip Morris  ← 5일선라이딩, 이평선수렴
$   136B   [+31.4%]  Micron Technology(역사적)  ← 52주신고가, 5일선라이딩
$   128B    [+6.7%]  Honeywell  ← 이평선수렴, RSI/MACD
$   126B    [+5.1%]  Goldman Sachs(52주)  ← 52주신고가, 5일선라이딩
$   116B    [-1.6%]  Elevance Health  ← 5일선라이딩, 이평선수렴
$   107B    [+5.8%]  TJX Companies  ← 이평선수렴, RSI/MACD
$    90B    [+3.7%]  Palo Alto Networks(52주)  ← 52주신고가, 5일선라이딩
$    83B   [+10.3%]  Cadence Design Systems(52주)  ← 52주신고가, 이평선수렴
$    75B    [+8.5%]  CrowdStrike(52주)  ← 52주신고가, 5일선라이딩
$    69B    [+0.9%]  CSX Corporation(52주)  ← 52주신고가, 5일선라이딩
$    60B    [+3.3%]  PNC Financial Services  ← 이평선수렴, RSI/MACD
$    58B    [-1.3%]  Monster Beverage(52주)  ← 52주신고가, 이평선수렴
$    54B    [+6.3%]  Edwards Lifesciences  ← 이평선수렴, RSI/MACD
$    53B    [+2.6%]  Welltower(52주)  ← 52주신고가, 5일선라이딩
$    53B   [+20.3%]  Supermicro  ← 이평선수렴, RSI/MACD
$    51B    [+2.3%]  MetLife  ← 5일선라이딩, 이평선수렴
$    51B    [+5.9%]  Fortinet(52주)  ← 52주신고가, 5일선라이딩
$    50B   [+17.6%]  Ford  ← 이평선수렴, RSI/MACD
$    47B    [+6.1%]  Nucor(52주)  ← 52주신고가, 5일선라이딩
$    46B    [-1.6%]  Aflac(52주)  ← 52주신고가, RSI/MACD
$    46B   [+11.2%]  Ross Stores(52주)  ← 52주신고가, RSI/MACD
$    42B    [+7.1%]  Datadog(52주)  ← 52주신고가, 5일선라이딩
$    41B    [+1.3%]  Ares Management  ← 5일선라이딩, 이평선수렴
$    41B    [+0.4%]  Keurig Dr Pepper  ← 5일선라이딩, 이평선수렴
$    39B    [-0.3%]  Prudential Financial  ← 이평선수렴, RSI/MACD
$    38B    [-1.8%]  Centene  ← 5일선라이딩, 이평선수렴
$    38B    [-1.4%]  Humana  ← 5일선라이딩, 이평선수렴
$    35B    [-1.9%]  Nasdaq  ← 5일선라이딩, 이평선수렴
$    33B    [+4.6%]  Rockwell Automation(52주)  ← 52주신고가, 이평선수렴
$    30B   [+13.0%]  Delta Air Lines(52주)  ← 52주신고가, RSI/MACD
$    29B    [+2.2%]  Fortive  ← 컵위드핸들, RSI/MACD
$    29B    [+0.6%]  Biogen  ← 5일선라이딩, 이평선수렴
$    29B   [+16.1%]  ON Semiconductor(역사적)  ← 52주신고가, 5일선라이딩
$    27B    [+5.7%]  Zscaler  ← 이평선수렴, RSI/MACD
$    26B    [-0.1%]  AvalonBay Communities  ← 5일선라이딩, 이평선수렴
$    26B    [+1.4%]  T. Rowe Price  ← 5일선라이딩, 이평선수렴
$    25B    [+4.4%]  AppLovin  ← 이평선수렴, RSI/MACD
$    24B    [+5.2%]  HEICO  ← 이평선수렴, RSI/MACD
$    23B    [+1.1%]  Equity Residential  ← 이평선수렴, RSI/MACD
$    23B    [+3.1%]  State Street Corporation(52주)  ← 52주신고가, 5일선라이딩
$    23B   [+15.3%]  Hewlett Packard Enterprise(52주)  ← 52주신고가, 5일선라이딩
$    23B    [+2.8%]  First Citizens BancShares  ← 이평선수렴, RSI/MACD
$    22B    [+4.3%]  M&T Bank  ← 이평선수렴, RSI/MACD
$    21B   [+15.2%]  NetApp(52주)  ← 52주신고가, 5일선라이딩
$    21B    [+2.3%]  Invitation Homes  ← 5일선라이딩, 이평선수렴
$    20B   [+15.5%]  First Solar  ← 이평선수렴, RSI/MACD
$    19B    [+1.9%]  Waters Corporation  ← 이평선수렴, RSI/MACD
$    19B    [+2.3%]  Principal(52주)  ← 52주신고가, 5일선라이딩
$    19B    [-0.4%]  Cincinnati Financial  ← 이평선수렴, RSI/MACD
$    19B    [+0.5%]  VeriSign(52주)  ← 52주신고가, 5일선라이딩
$    19B   [+17.3%]  Williams-Sonoma  ← 이평선수렴, RSI/MACD
$    18B    [+4.7%]  Regions Financial  ← 이평선수렴, RSI/MACD
$    17B    [+0.3%]  Ventas(52주)  ← 52주신고가, 5일선라이딩
$    17B    [+2.8%]  Northern Trust(52주)  ← 52주신고가, 5일선라이딩
$    17B    [+2.5%]  Expeditors  ← 이평선수렴, RSI/MACD
$    16B    [+7.8%]  Okta  ← 5일선라이딩, 이평선수렴
$    16B   [+18.6%]  Skyworks Solutions  ← 5일선라이딩, 이평선수렴
$    16B   [+34.6%]  Enphase Energy  ← 이평선수렴, RSI/MACD
$    16B    [+1.8%]  Essex Property Trust  ← 5일선라이딩, 이평선수렴
$    15B    [+6.0%]  Hyatt Hotels(52주)  ← 52주신고가, 이평선수렴
$    15B    [-1.9%]  Nutanix  ← 5일선라이딩, 이평선수렴
$    15B    [+0.5%]  AMH (American Homes 4 Rent)  ← 이평선수렴, RSI/MACD
$    14B    [+5.7%]  Host Hotels & Resorts(52주)  ← 52주신고가, 5일선라이딩
$    14B    [-1.5%]  Fox Corporation  ← 이평선수렴, RSI/MACD
$    14B   [+14.4%]  United Airlines Holdings  ← 이평선수렴, RSI/MACD
$    13B    [-0.9%]  Franklin Resources  ← 5일선라이딩, 이평선수렴
$    13B    [+1.7%]  Gen Digital  ← 이평선수렴, RSI/MACD
$    13B    [+1.5%]  UDR Apartments  ← 5일선라이딩, 이평선수렴
$    12B    [+1.7%]  Plains All American Pipeline(52주)  ← 52주신고가, 5일선라이딩
$    12B    [+2.2%]  Alliant Energy(52주)  ← 52주신고가, RSI/MACD
$    12B   [+12.5%]  Burlington Stores  ← 이평선수렴, RSI/MACD
$    12B    [-1.4%]  Reinsurance Group of America  ← 5일선라이딩, 컵위드핸들
$    12B    [+9.8%]  Bruker  ← 이평선수렴, RSI/MACD
$    11B    [+4.5%]  Lamar Advertising(52주)  ← 52주신고가, 5일선라이딩
$    11B    [+1.5%]  Ally  ← 이평선수렴, RSI/MACD
$    11B   [+14.9%]  Qorvo  ← 5일선라이딩, 이평선수렴
$    10B    [+3.0%]  Camden Property Trust  ← 이평선수렴, RSI/MACD
$    10B   [+12.4%]  Cleveland-Cliffs  ← 이평선수렴, RSI/MACD
$    10B   [+17.2%]  Ralph Lauren(52주)  ← 52주신고가, 이평선수렴
$    10B    [+3.0%]  East West Bancorp(52주)  ← 52주신고가, RSI/MACD
$    10B    [+2.9%]  Texas Roadhouse  ← 이평선수렴, RSI/MACD
$    10B    [+2.0%]  Unum(52주)  ← 52주신고가, 5일선라이딩
$    10B    [+1.2%]  Boston Properties  ← 이평선수렴, RSI/MACD
$     9B    [-0.8%]  Assurant(52주)  ← 52주신고가, 5일선라이딩
$     9B    [-1.4%]  SEI Investments  ← 5일선라이딩, 이평선수렴
$     9B    [+0.2%]  Jefferies Financial Group  ← 5일선라이딩, 이평선수렴
$     9B   [+20.1%]  American Airlines  ← 이평선수렴, RSI/MACD
$     8B    [-2.6%]  Hess Midstream  ← 컵위드핸들, 이평선수렴
